time_s,target_angle_deg,current_angle_deg,resistance_torque_Nm
3.49,59.442462441324444,57.08416121219196,0.8697398727427038
3.5,58.905764746872634,56.55570314428437,0.8749732866601625
3.5100000000000002,58.366871170966576,56.02502040663852,0.880565967107647
3.52,57.82586681114893,55.492198197379935,0.8865970122050012
3.5300000000000002,57.28283709827963,54.957322047599995,0.8931536811817847
3.54,56.73786778304535,54.42047780786662,0.9003310973645549
3.5500000000000003,56.19104492241845,53.88175163468445,0.9082317949572674
3.56,55.642454866067624,53.3412299769067,0.9169650966281752
3.5700000000000003,55.092184242722126,52.79899956210061,0.92664631057748
3.58,54.54031994649247,52.255147382869346,0.9373957379619974
3.59,53.98694912314832,51.70976068313111,0.9493374843152127
3.6,53.432159156357606,51.16292694435944,0.9625980719266221
3.61,52.876037653887416,50.614733871785326,0.9773048540186166
3.62,52.318672433769756,50.065269380564125,0.9935842359476291
3.63,51.76015151043409,49.514621581909346,1.0115597135024021
3.64,51.20056308080873,48.96287876919516,1.031349743597063
3.65,50.63999551039371,48.41012940403051,1.053065468158135
3.66,50.07853731930668,47.856462102306175,1.0768083176586238
3.67,49.516277168304676,47.301965620217665,1.1026675264138985
3.68,48.95330384478344,46.74672884026577,1.1307175972606167
3.69,48.389706248756966,46.19084075723723,1.1610157584138883
3.7,47.825573378819094,45.63439046416753,1.1935994599525852
3.71,47.260994318089665,45.07746713828816,1.2284839613266045
3.72,46.69605822014703,44.52016002696034,1.2656600643241978
3.73,46.1308542949502,43.96255843359823,1.3050920479017931
3.74,45.565471794750884,43.404751703582235,1.3467158619996802
3.75,45.00000000000001,42.84682921016653,1.3904376368041143
3.7600000000000002,44.43452820524914,42.288880340381745,1.4361325617614034
3.77,43.86914570504981,41.730994480935315,1.483644184930606
3.7800000000000002,43.30394177985294,41.17326100411211,1.532784177951619
3.79,42.739005681910356,40.615769253677044,1.5833326050249774
3.8000000000000003,42.174426621180885,40.058608530782294,1.635038725921687
3.81,41.61029375124305,39.50186807988111,1.6876223532911623
3.8200000000000003,41.04669615521654,38.94563707465041,1.7407757735921554
3.83,40.48372283169534,38.39000460392502,1.7941662290642264
3.84,39.92146268069333,37.835059657644344,1.8474389455618794
3.85,39.36000448960631,37.28089111281553,1.9002206781044515
3.86,38.79943691919128,36.72758771949384,1.9521237329989167
3.87,38.23984848956592,36.17523808678322,2.0027504127368485
3.88,37.681327566230266,35.623930668859046,2.0516978179275163
3.89,37.1239623461126,35.07375375101514,2.098562929680344
3.9,36.56784084364241,34.524795435737786,2.1429478864486273
3.91,36.0130508768517,33.97714362880812,2.184465361721204
